year,state,candidate,party,outcome
1990,Iowa,Thomas J. Tauke,republican,0.0
1990,Kansas,Dick Williams,democrat,0.0
1990,Kansas,Nancy Landon Kassebaum,republican,1.0
1990,Kentucky,Mitch McConnell,republican,1.0
1990,Kentucky,G. Harvey Sloane,democrat,0.0
1990,Louisiana,J. Bennett Johnston,democrat,1.0
1990,Maine,William S. Cohen,republican,1.0
1990,Maine,Neil Rolde,democrat,0.0
1990,Massachusetts,John F. Kerry,democrat,1.0
1990,Massachusetts,Jim Rappaport,republican,0.0
1990,Michigan,Susan Farquhar,other,0.0
1990,Michigan,Carl Levin,democrat,1.0
1990,Michigan,Bill Schuette,republican,0.0
1990,Minnesota,Rudy Boschwitz,republican,0.0
1990,Minnesota,Paul David Wellstone,democrat,1.0
1990,Minnesota,Russell B. Bentley,other,0.0
1990,Mississippi,Thad Cochran,republican,1.0
1990,Montana,Max Baucus,democrat,1.0
1990,Montana,Allen C. Kolstad,republican,0.0
1990,Montana,Westley F. Deitchler,other,0.0
1990,Nebraska,Hal Daub,republican,0.0
1990,Nebraska,J. James Exon,democrat,1.0
1990,New Hampshire,John G. Elsnau,other,0.0
1990,New Hampshire,Robert C. Smith,republican,1.0
1990,New Hampshire,John A. Durkin,democrat,0.0
1990,New Jersey,Louis M. Stefanelli,other,0.0
1990,New Jersey,John L. Kucek,other,0.0
1990,New Jersey,Christine Todd Whitman,republican,0.0
1990,New Jersey,Bill Bradley,democrat,1.0
1990,New Jersey,Don Mackle,other,0.0
1990,New Mexico,Tom R. Benavides,democrat,0.0
1990,New Mexico,Pete V. Domenici,republican,1.0
1990,North Carolina,Harvey B. Gantt,democrat,0.0
1990,North Carolina,Jesse Helms,republican,1.0
1990,Oklahoma,Stephen Jones,republican,0.0
1990,Oklahoma,David L. Boren,democrat,1.0
1990,Oregon,Mark O. Hatfield,republican,1.0
1990,Oregon,Harry Lonsdale,democrat,0.0
1990,Rhode Island,Claudine Schneider,republican,0.0
1990,Rhode Island,Claiborne Pell,democrat,1.0
1990,South Carolina,Strom Thurmond,republican,1.0
1990,South Carolina,Bob Cunningham,democrat,0.0
1990,South Carolina,William H. Griffin,other,0.0
1990,South Carolina,Marion C. Metts,other,0.0
1990,South Dakota,Ted Muenster,democrat,0.0
1990,South Dakota,Dean L. Sinclair,other,0.0
1990,South Dakota,Larry Pressler,republican,1.0
1990,Tennessee,Albert Gore Jr.,democrat,1.0
1990,Tennessee,William R. Hawkins,republican,0.0
1990,Tennessee,Charles Gordon Vick,other,0.0
1990,Tennessee,Bill Jacox,other,0.0
1990,Texas,Hugh Parmer,democrat,0.0
1990,Texas,Gary Johnson,other,0.0
1990,Texas,Phil Gramm,republican,1.0
1990,Virginia,Nancy B. Spannaus,other,0.0
1990,Virginia,John Warner,republican,1.0
1990,West Virginia,John D. Rockefeller IV,democrat,1.0
1990,West Virginia,John Yoder,republican,0.0
1990,Wyoming,Alan K. Simpson,republican,1.0
1990,Wyoming,Kathy Helling,democrat,0.0
1992,Alabama,Richard C. Shelby,democrat,1.0
1992,Alabama,Jerome Shockley,other,0.0
1992,Alabama,Richard Sellers,republican,0.0
1992,Alaska,Frank H. Murkowski,republican,1.0
1992,Alaska,Tony Smith,democrat,0.0
1992,Alaska,Mary Jordan,other,0.0
1992,Arizona,Claire Sargent,democrat,0.0
1992,Arizona,Evan Mecham,other,0.0
1992,Arizona,John McCain,republican,1.0
1992,Arizona,Kiana Delamare,other,0.0
1992,Arizona,Ed Finkelstein,other,0.0
1992,Arkansas,Dale Bumpers,democrat,1.0
1992,Arkansas,Mike Huckabee,republican,0.0
1992,California,Dianne Feinstein,democrat,1.0
1992,California,Barbara Boxer,democrat,0.0
1992,California,Gerald Horne,other,0.0
1992,California,June R. Genis,other,0.0
1992,California,Richard B. Boddie,other,0.0
1992,California,Paul Meeuwenberg,other,0.0
1992,California,"Jerome ""Jerry"" McCready",other,0.0
1992,California,John Seymour,republican,0.0
1992,California,Bruce Herschensohn,republican,0.0
1992,California,Genevieve Torres,other,0.0
1992,Colorado,Ben Nighthorse Campbell,democrat,1.0
1992,Colorado,Dan Winters,other,0.0
1992,Colorado,Terry Considine,republican,0.0
1992,Colorado,Matt Noah,other,0.0
1992,Colorado,Hue Futch,other,0.0
1992,Colorado,Richard O. Grimes,other,0.0
1992,Connecticut,Brook Johnson,republican,0.0
1992,Connecticut,Richard D. Gregory,other,0.0
1992,Connecticut,"Howard A. Grayson, Jr.",other,0.0
1992,Florida,Bill Grant,republican,0.0
1992,Florida,Bob Graham,democrat,1.0
1992,Georgia,Jim Hudson,other,0.0
1992,Hawaii,Rick Reed,republican,0.0
1992,Hawaii,Daniel K. Inouye,democrat,1.0
1992,Hawaii,Richard O. Rowland,other,0.0
1992,Hawaii,Linda B. Martin,other,0.0
1992,Idaho,Dirk Kempthorne,republican,1.0
1992,Idaho,Richard H. Stallings,democrat,0.0
1992,Illinois,John Justice,other,0.0
1992,Illinois,Charles A. Winter,other,0.0
1992,Illinois,Richard S. Williamson,republican,0.0
1992,Illinois,Kathleen Kaku,other,0.0
1992,Illinois,Carol Moseley-Braun,democrat,1.0
1992,Illinois,Alan J. Port,other,0.0
1992,Illinois,Chad Koppie,other,0.0
1992,Illinois,Andrew B. Spiegel,other,0.0
1992,Indiana,Joseph H. Hogsett,democrat,0.0
1992,Indiana,Dan Coats,republican,1.0
1992,Indiana,Steve Dillon,other,0.0
1992,Indiana,Raymond Tirado,other,0.0
1992,Iowa,Stuart Zimmerman,other,0.0
1992,Iowa,Jean Lloyd-Jones,democrat,0.0
1992,Iowa,Carl Eric Olsen,other,0.0
1992,Iowa,Chuck Grassley,republican,1.0
1992,Iowa,Cleve Andrew Pulley,other,0.0
1992,Kansas,Bob Dole,republican,1.0
1992,Kansas,Christina Campbell-Cline,other,0.0
1992,Kansas,Mark B. Kirk,other,0.0
1992,Kansas,Gloria O'Dell,democrat,0.0
1992,Kentucky,David L. Williams,republican,0.0
1992,Kentucky,Wendell H. Ford,democrat,1.0
1992,Kentucky,James Ridenour,other,0.0
1992,Louisiana,John B. Breaux,democrat,1.0
1992,Maryland,Barbara A. Mikulski,democrat,1.0
1992,Maryland,Alan L. Keyes,republican,0.0
1992,Missouri,Christopher S. Bond,republican,1.0
1992,Missouri,Geri Rothman-Serot,democrat,0.0
1992,Missouri,Jeanne F. Bojarski,other,0.0
1992,Nevada,"Joe S. Garcia, Jr.",other,0.0
1992,Nevada,Demar Dahl,republican,0.0
1992,Nevada,Harry Tootle,other,0.0
1992,Nevada,Harry Reid,democrat,1.0
1992,Nevada,H. Kent Cromwell,other,0.0
1992,Nevada,Lois Avery,other,0.0
1992,New Hampshire,Judd Gregg,republican,1.0
1992,New Hampshire,David Haight,other,0.0
1992,New Hampshire,"Kenneth E. Blevens, Sr.",other,0.0
1992,New Hampshire,Larry Brady,other,0.0
1992,New Hampshire,John Rauh,democrat,0.0
1992,New Hampshire,Katherine M. Alexander,other,0.0
1992,New York,Ed Warren,other,0.0
1992,New York,Norma Segal,other,0.0
1992,New York,Stanley Nelson,other,0.0
1992,New York,Mohammad T. Mehdi,other,0.0
1992,North Carolina,Bobby Yates Emory,other,0.0
1992,North Carolina,Bruce Kimball,other,0.0
1992,North Carolina,Mary Ann Zakutney,other,0.0
1992,North Carolina,Terry Sanford,democrat,0.0
1992,North Carolina,Lauch Faircloth,republican,1.0
1992,North Dakota,Byron L. Dorgan,democrat,1.0
1992,North Dakota,Tom Asbridge,other,0.0
1992,North Dakota,Steve Sydness,republican,0.0
1992,Ohio,John Glenn,democrat,1.0
1992,Ohio,Michael DeWine,republican,0.0
1992,Ohio,Martha Grevatt,other,0.0
1992,Oklahoma,Don Nickles,republican,1.0
1992,Oklahoma,Thomas D. Ledgerwood II,other,0.0
1992,Oklahoma,Steve Lewis,democrat,0.0
1992,Oklahoma,Roy V. Edwards,other,0.0
1992,Oregon,Les AuCoin,democrat,0.0
1992,Oregon,Bob Packwood,republican,1.0
1992,Pennsylvania,Lynn Yeakel,democrat,0.0
1992,Pennsylvania,John F Perry III,other,0.0
1992,Pennsylvania,Arlen Specter,republican,1.0
1992,South Carolina,Tommy Hartnett,republican,0.0
1992,South Carolina,Robert Barnwell Clarkson II,other,0.0
1992,South Carolina,Ernest F. Hollings,democrat,1.0
1992,South Carolina,Mark Johnson,other,0.0
1992,South Dakota,Kent Hyde,other,0.0
1992,South Dakota,Thomas A. Daschle,democrat,1.0
1992,South Dakota,Charlene Haar,republican,0.0
1992,South Dakota,Gus Hercules,other,0.0
1992,Utah,Robert F. Bennett,republican,1.0
1992,Utah,Anita R. Morrow,other,0.0
1992,Utah,Patricia Grogan,other,0.0
1992,Utah,Maury Modine,other,0.0
1992,Utah,Wayne Owens,democrat,0.0
1992,Vermont,Patrick J. Leahy,democrat,1.0
1992,Vermont,Jerry Levy,other,0.0
1992,Vermont,James H. Douglas,republican,0.0
1992,Vermont,Michael B. Godeck,other,0.0
1992,Washington,Rod Chandler,republican,0.0
1992,Washington,Patty Murray,democrat,1.0
1992,Wisconsin,William Bittner,other,0.0
1992,Wisconsin,Robert L. Kundert,other,0.0
1992,Wisconsin,"Robert W. Kasten, Jr.",republican,0.0
1992,Wisconsin,Russell D. Feingold,democrat,1.0
1992,Wisconsin,Patrick W. Johnson,other,0.0
1992,Wisconsin,Joseph Selliken,other,0.0
1992,Wisconsin,"Mervin A. Hanson, Sr.",other,0.0
1994,Arizona,Sam Coppersmith,democrat,0.0
1994,Arizona,Scott Grainger,other,0.0
1994,Arizona,Jon Kyl,republican,1.0
1994,California,Dianne Feinstein,democrat,1.0
1994,California,Barbara Blong,other,0.0
1994,California,Elizabeth Cervantes Barron,other,0.0
1994,California,Paul Meeuwenberg,other,0.0
1994,California,Michael Huffington,republican,0.0
1994,California,Richard Benjamin Boddie,other,0.0
1994,Connecticut,Gary R. Garneau,other,0.0
1994,Connecticut,Jerry Labriola,republican,0.0
1994,Delaware,John C. Dierickx,other,0.0
1994,Delaware,"William V. Roth, Jr.",republican,1.0
1994,Delaware,Charles M. Oberly,democrat,0.0
1994,Florida,Connie Mack,republican,1.0
1994,Florida,Hugh E. Rodham,democrat,0.0
1994,Hawaii,Daniel K. Akaka,democrat,1.0
1994,Hawaii,Maria M. Hustace,republican,0.0
1994,Hawaii,Richard (Dick) Rowland,other,0.0
1994,Indiana,Richard G. Lugar,republican,1.0
1994,Indiana,James Jontz,democrat,0.0
1994,Indiana,Barbara Bourland,other,0.0
1994,Indiana,Mary Catherine Barton,other,0.0
1994,Maine,Olympia J. Snowe,republican,1.0
1994,Maine,Thomas H. Andrews,democrat,0.0
1994,Maine,Plato Truman,other,0.0
1994,Maryland,William Brock,republican,0.0
1994,Maryland,Paul S. Sarbanes,democrat,1.0
1994,Massachusetts,Lauraleigh Dozier,other,0.0
1994,Massachusetts,W. Mitt Romney,republican,0.0
1994,Massachusetts,"William A. Ferguson, Jr.",other,0.0
1994,Massachusetts,Edward M. Kennedy,democrat,1.0
1994,Michigan,Jon Coon,other,0.0
1994,Michigan,Spencer Abraham,republican,1.0
1994,Michigan,William Roundtree,other,0.0
1994,Michigan,Chris Wege,other,0.0
1994,Michigan,Bobb Carr,democrat,0.0
1994,Minnesota,Stephen Johnson,other,0.0
1994,Minnesota,Candice E. Sjostrom,other,0.0
1994,Minnesota,Rod Grams,republican,1.0
1994,Minnesota,Ann Wynia,other,0.0
1994,Minnesota,Dean M. Barkley,other,0.0
1994,Minnesota,Marea Himelgrin,other,0.0
1994,Mississippi,Trent Lott,republican,1.0
1994,Mississippi,Ken Harper,democrat,0.0
1994,Missouri,Bill Johnson,other,0.0
1994,Missouri,Alan Wheat,democrat,0.0
1994,Missouri,John Ashcroft,republican,1.0
1994,Missouri,Cyrill Kolocotronis,other,0.0
1994,Missouri,Jock peacock,other,0.0
1994,Montana,Jack Mudd,democrat,0.0
1994,Montana,Conrad R. Burns,republican,1.0
1994,Nebraska,Jan Stoney,republican,0.0
1994,Nebraska,J. Robert Kerrey,democrat,1.0
1994,Nevada,Bob Days,other,0.0
1994,Nevada,Hal Furman,republican,0.0
1994,Nevada,Richard H. Bryan,democrat,1.0
1994,Nevada,Anna Nevenich,other,0.0
1994,Nevada,Neal A. Grasteit,other,0.0
1994,New Jersey,Andrewa Lippi,other,0.0
1994,New Jersey,Ben Grindlinger,other,0.0
1994,New Jersey,Michael P. Kelly,other,0.0
1994,New Jersey,Arlene Gold,other,0.0
1994,New Jersey,"Garabed ""Chuck"" Haytaian",republican,0.0
1994,New Jersey,Frank R. Lautenberg,democrat,1.0
1994,New Jersey,Richard J. Pezzullo,other,0.0
1994,New Jersey,Joanne Kuniansky,other,0.0
1994,New Jersey,George Patrick Predham,other,0.0
1994,New Mexico,Colin R. McMillan,republican,0.0
1994,New Mexico,Jeff Bingaman,democrat,1.0
1994,New York,Norma Segal,other,0.0
1994,New York,"Ismael Betancourt, Jr.",other,0.0
1994,New York,Naomi L. Craine,other,0.0
1994,New York,Henry F. Hewes,other,0.0
1994,North Dakota,Kent Conrad,democrat,1.0
1994,North Dakota,Ben Clayburgh,republican,0.0
1994,Ohio,Joel Hyatt,democrat,0.0
1994,Ohio,Joseph J. Slovenec,other,0.0
1994,Ohio,Mike DeWine,republican,1.0
1994,Oklahoma,Danny Corn,other,0.0
1994,Oklahoma,Dave McCurdy,democrat,0.0
1994,Oklahoma,James M. Inhofe,republican,1.0
1994,Pennsylvania,Rick Santorum,republican,1.0
1994,Pennsylvania,Donald C. Ernsberger,other,0.0
1994,Pennsylvania,Diane Blough,other,0.0
1994,Pennsylvania,Harris Wofford,democrat,0.0
1994,Rhode Island,Linda J. Kushner,democrat,0.0
1994,Rhode Island,John H. Chafee,republican,1.0
1994,Tennessee,Charles M. Moore,other,0.0
1994,Tennessee,Jim Sasser,democrat,0.0
1994,Tennessee,Kerry Martin,other,0.0
1994,Tennessee,Philip L. Kienlen,other,0.0
1994,Tennessee,Bill Frist,republican,0.0
1994,Tennessee,Terry L. Lytle,other,0.0
1994,Tennessee,Jon Walls,other,0.0
1994,Tennessee,Fred Thompson,republican,1.0
1994,Tennessee,Charles F. Johnson,other,0.0
1994,Tennessee,Hobart R. Lumpkin,other,0.0
1994,Tennessee,Don Schneller,other,0.0
1994,Tennessee,John Jay Hooker,other,0.0
1994,Tennessee,Jim Cooper,democrat,0.0
1994,Tennessee,Charles N. Hancock,other,0.0
1994,Texas,Richard Fisher,democrat,0.0
1994,Texas,Pierre Blondeau,other,0.0
1994,Texas,Kay Bailey Hutchison,republican,1.0
1994,Utah,Nelson Gonzalez,other,0.0
1994,Utah,Gary R. Van Horn,other,0.0
1994,Utah,Orrin G. Hatch,republican,1.0
1994,Utah,Craig Oliver,other,0.0
1994,Utah,Lawrence Rey Topham,other,0.0
1994,Utah,Patrick A. Shea,democrat,0.0
1994,Vermont,James M. Jeffords,republican,1.0
1994,Vermont,Jan Backus,democrat,0.0
1994,Vermont,Joseph Victor Pardo,other,0.0
1994,Vermont,Gavin T. Mills,other,0.0
1994,Vermont,Matthew S. Mulligan,other,0.0
1994,Vermont,Jerry Levy,other,0.0
1994,Vermont,Bob Melamede,other,0.0
1994,Virginia,Charles S. Robb,democrat,1.0
1994,Virginia,J. Marshall Coleman,other,0.0
1994,Virginia,L. Douglas Wilder,other,0.0
1994,Virginia,"Oliver L. ""Ollie"" North",republican,0.0
1994,Washington,Slade Gorton,republican,1.0
1994,Washington,Ron Sims,democrat,0.0
1994,West Virginia,Robert C. Byrd,democrat,1.0
1994,West Virginia,Stan Klos,republican,0.0
1994,Wisconsin,James Dean,other,0.0
1994,Wisconsin,Herb Kohl,democrat,1.0
1994,Wisconsin,Robert T. Welch,republican,0.0
1994,Wyoming,Craig Thomas,republican,1.0
1994,Wyoming,Mike Sullivan,democrat,0.0
1994,Wyoming,Craig Alan McCune,other,0.0
1996,Alabama,Mark Thornton,other,0.0
1996,Alabama,Roger Bedford,democrat,0.0
1996,Alabama,Charles R. Hebner,other,0.0
1996,Alabama,Jeff Sessions,republican,1.0
1996,Alaska,Theresa Nangle Obermeyer,democrat,0.0
1996,Alaska,Jed Whittaker,other,0.0
1996,Alaska,Ted Stevens,republican,1.0
1996,Arkansas,Winston Bryant,democrat,0.0
1996,Arkansas,Y. Tim Hutchinson,republican,1.0
1996,Colorado,Randy MacKenzie,other,0.0
1996,Colorado,Tom Strickland,democrat,0.0
1996,Colorado,Wayne Allard,republican,1.0
1996,Delaware,Jacqueline Kossoff,other,0.0
1996,Delaware,Raymond J. Clatworthy,republican,0.0
1996,Delaware,Mark Jones,other,0.0
1996,Delaware,Joseph R. Biden Jr.,democrat,1.0
1996,Georgia,Guy W. Millner,republican,0.0
1996,Georgia,Max Cleland,democrat,1.0
1996,Georgia,John Gregory Cashin,other,0.0
1996,Idaho,Larry E. Craig,republican,1.0
1996,Idaho,Walt Minnick,democrat,0.0
1996,Idaho,Mary J. Charbonneau,other,0.0
1996,Idaho,Susan Vegors,other,0.0
1996,Illinois,Al Salvi,republican,0.0
1996,Illinois,Steven H. Perry,other,0.0
1996,Illinois,Chad Koppie,other,0.0
1996,Illinois,Robin J. Miller,other,0.0
1996,Illinois,James E. Davis,other,0.0
1996,Illinois,Richard J. Durbin,democrat,1.0
1996,Iowa,Tom Harkin,democrat,1.0
1996,Iowa,Sue Atkinson,other,0.0
1996,Iowa,Jim Lightfoot,republican,0.0
1996,Iowa,Joe Sulentic,other,0.0
1996,Iowa,Shirley E. Pena,other,0.0
1996,Iowa,Fred Gratson,other,0.0
1996,Kansas,Donald R. Klaassen,other,0.0
1996,Kansas,Sam Brownback,republican,0.0
1996,Kansas,Pat Roberts,republican,1.0
1996,Kansas,Jill Docking,democrat,0.0
1996,Kansas,Mark S. Marney,other,0.0
1996,Kansas,Sally Thompson,democrat,0.0
1996,Kansas,Steven Rosile,other,0.0
1996,Kentucky,Mac McElroy,other,0.0
1996,Kentucky,Mitch McConnell,republican,1.0
1996,Kentucky,Patricia Jo Metten,other,0.0
1996,Kentucky,Dennis L. Lacy,other,0.0
1996,Kentucky,Steven L. Beshear,democrat,0.0
1996,Louisiana,"Louis ""Woody"" Jenkins",republican,0.0
1996,Louisiana,Mary L. Landrieu,democrat,1.0
1996,Maine,William P. Clarke,other,0.0
1996,Maine,Joseph E. Brennan,democrat,0.0
1996,Maine,John C. Rensenbrink,other,0.0
1996,Maine,Susan M. Collins,republican,1.0
1996,Massachusetts,John F. Kerry,democrat,1.0
1996,Massachusetts,Robert C. Stowe,other,0.0
1996,Massachusetts,Susan C. Gallagher,other,0.0
1996,Massachusetts,William F. Weld,republican,0.0
1996,Michigan,Joseph S. Mattingly,other,0.0
1996,Michigan,Kenneth L. Proctor,other,0.0
1996,Michigan,Carl Levin,democrat,1.0
1996,Michigan,William Roundtree,other,0.0
1996,Michigan,Ronna Romney,republican,0.0
1996,Michigan,Martin P. McLaughlin,other,0.0
1996,Minnesota,Tim Davis,other,0.0
1996,Minnesota,Thomas A. Fiske,other,0.0
1996,Minnesota,Howard B. Hanson,other,0.0
1996,Minnesota,Roy Ezra Carlton,other,0.0
1996,Minnesota,Rudy Boschwitz,republican,0.0
1996,Minnesota,Steve Johnson,other,0.0
1996,Minnesota,Dean Barkley,other,0.0
1996,Minnesota,Paul Wellstone,other,1.0
1996,Mississippi,Ted C. Weill,other,0.0
1996,Mississippi,Thad Cochran,republican,1.0
1996,Mississippi,James W. (Bootie) Hunt,democrat,0.0
1996,Montana,Dennis Rehberg,republican,0.0
1996,Montana,Stephen Heaton,other,0.0
1996,Montana,Max Baucus,democrat,1.0
1996,Montana,Becky Shaw,other,0.0
1996,Nebraska,Ben Nelson,democrat,0.0
1996,Nebraska,Chuck Hagel,republican,1.0
1996,New Hampshire,Ken Blevens,other,0.0
1996,New Hampshire,Bob Smith,republican,1.0
1996,New Hampshire,Dick Swett,democrat,0.0
1996,New Jersey,Steven J. Baeli,other,0.0
1996,New Jersey,Wilburt Kornegay,other,0.0
1996,New Jersey,Mark Wise,other,0.0
1996,New Jersey,Olga L. Rodriguez,other,0.0
1996,New Jersey,Dick Zimmer,republican,0.0
1996,New Jersey,Robert G. Torricelli,democrat,1.0
1996,New Jersey,Mary Jo Christian,other,0.0
1996,New Jersey,Richard J. Pezzullo,other,0.0
1996,New Jersey,Paul A. Woomer,other,0.0
1996,New Mexico,Pete V. Domenici,republican,1.0
1996,New Mexico,Art Trujillo,democrat,0.0
1996,New Mexico,Abraham J. Gutmann,other,0.0
1996,New Mexico,Bruce M. Bush,other,0.0
1996,North Carolina,Jesse Helms,republican,1.0
1996,North Carolina,J. Victor Pardo,other,0.0
1996,North Carolina,Harvey B. Gantt,democrat,0.0
1996,North Carolina,Ray Ubinger,other,0.0
1996,Oklahoma,Bill Maguire,other,0.0
1996,Oklahoma,James M. Inhofe,republican,1.0
1996,Oklahoma,Agnes Marie Regier,other,0.0
1996,Oklahoma,Jim Boren,democrat,0.0
1996,Oklahoma,Chris Nedbalek,other,0.0
1996,Oregon,Tom Bruggere,democrat,0.0
1996,Oregon,Brent Thompson,other,0.0
1996,Oregon,Gary Kutcher,other,0.0
1996,Oregon,Paul (Stormy) Mohn,other,0.0
1996,Oregon,Michael L. Hoyes,other,0.0
1996,Oregon,Christopher Phelps,other,0.0
1996,Oregon,Gordon Smith,republican,1.0
1996,Rhode Island,Donald W. Lovejoy,other,0.0
1996,Rhode Island,Jack Reed,democrat,1.0
1996,Rhode Island,Nancy J. Mayer,republican,0.0
1996,South Carolina,Strom Thurmond,republican,1.0
1996,South Carolina,Elliot Springs Close,democrat,0.0
1996,South Carolina,Richard T. Quillian,other,0.0
1996,South Carolina,Peter J. Ashy,other,0.0
1996,South Carolina,Annette C. Estes,other,0.0
1996,South Dakota,Larry Pressler,republican,0.0
1996,South Dakota,Tim Johnson,democrat,1.0
1996,Tennessee,Greg Samples,other,0.0
1996,Tennessee,Fred Thompson,republican,1.0
1996,Tennessee,Bruce Gold,other,0.0
1996,Tennessee,John Jay Hooker,other,0.0
1996,Tennessee,Philip L. Kienlen,other,0.0
1996,Tennessee,Houston Gordon,democrat,0.0
1996,Tennessee,Robert O. Watson,other,0.0
1996,Texas,John Huff,other,0.0
1996,Texas,Victor M. Morales,democrat,0.0
1996,Texas,Phil Gramm,republican,1.0
1996,Texas,Michael Bird,other,0.0
1996,Virginia,John W. Warner,republican,1.0
1996,Virginia,Mark R. Warner,democrat,0.0
1996,West Virginia,John D. Rockefeller IV,democrat,1.0
1996,West Virginia,Betty A. Burks,republican,0.0
1996,Wyoming,Michael B. Enzi,republican,1.0
1996,Wyoming,Lloyd Marsden,other,0.0
1996,Wyoming,Kathy Karpan,democrat,0.0
1996,Wyoming,W. David Herbert,other,0.0
1998,Alabama,Richard C. Shelby,republican,1.0
1998,Alabama,Clayton Suddith,democrat,0.0
1998,Alaska,Frank H. Murkowski,republican,1.0
1998,Alaska,Scott A. Kohlhaas,other,0.0
1998,Alaska,"Joseph A. ""Joe"" Sonneman",democrat,0.0
1998,Alaska,Jeffrey Gottlieb,other,0.0
1998,Arizona,Ed Ranger,democrat,0.0
1998,Arizona,John McCain,republican,1.0
1998,Arizona,Bob Park,other,0.0
1998,Arizona,John C. Zajac,other,0.0
1998,Arkansas,Charley E. Heffley,other,0.0
1998,Arkansas,Fay Boozman,republican,0.0
1998,Arkansas,Blanche Lambert Lincoln,democrat,1.0
1998,California,Matt Fong,republican,0.0
1998,California,Barbara Boxer,democrat,1.0
1998,California,Timothy R. Erich,other,0.0
1998,California,"H. Joseph Perrin, Sr.",other,0.0
1998,California,Ophie C. Beltran,other,0.0
1998,California,Ted Brown,other,0.0
1998,California,Brian M. Rees,other,0.0
1998,Colorado,Gary Swing,other,0.0
1998,Colorado,David S. Segal,other,0.0
1998,Colorado,Ben Nighthorse Campbell,republican,1.0
1998,Colorado,Dottie Lamm,democrat,0.0
1998,Colorado,Kevin Swanson,other,0.0
1998,Colorado,John Heckman,other,0.0
1998,Colorado,Jeffrey Peckman,other,0.0
1998,Connecticut,Lois A. Grasso,other,0.0
1998,Connecticut,Gary Franks,republican,0.0
1998,Connecticut,Christopher J. Dodd,democrat,1.0
1998,Connecticut,Wildey J. Moore,other,0.0
1998,Connecticut,William Kozak,other,0.0
1998,Florida,Bob Graham,democrat,1.0
1998,Florida,Charlie Crist,republican,0.0
1998,Georgia,Bertil Armin Loftman,other,0.0
1998,Georgia,Michael J. Coles,democrat,0.0
1998,Georgia,Paul Coverdell,republican,1.0
1998,Hawaii,Lloyd (Jeff) Mallan,other,0.0
1998,Hawaii,Daniel K. Inouye,democrat,1.0
1998,Hawaii,Crystal Young,republican,0.0
1998,Idaho,Mike Crapo,republican,1.0
1998,Idaho,Bill Mauk,democrat,0.0
1998,Idaho,George J. Mansfeld,other,0.0
1998,Illinois,Don A. Torgersen,other,0.0
1998,Illinois,Raymond W. Stalker,other,0.0
1998,Illinois,Peter G. Fitzgerald,republican,1.0
1998,Illinois,Carol Moseley-Braun,democrat,0.0
1998,Indiana,Evan Bayh,democrat,1.0
1998,Indiana,Paul Helmke,republican,0.0
1998,Indiana,Rebecca Sink-Burris,other,0.0
1998,Iowa,Margaret Trowe,other,0.0
1998,Iowa,Susan Marcus,other,0.0
1998,Iowa,Charles E. Grassley,republican,1.0
1998,Iowa,David Osterberg,democrat,0.0
1998,Kansas,Sam Brownback,republican,1.0
1998,Kansas,"Paul Feleciano, Jr.",democrat,0.0
1998,Kansas,Alvin Bauman,other,0.0
1998,Kansas,Tom Oyler,other,0.0
1998,Kentucky,Charles R. Arbegust,other,0.0
1998,Kentucky,Scotty Baesler,democrat,0.0
1998,Kentucky,Jim Bunning,republican,1.0
1998,Louisiana,"Sam Houston Melton, Jr.",democrat,0.0
1998,Louisiana,Jeffrey H. Diket,other,0.0
1998,Louisiana,"L. D. ""Nota"" Knox, Sr.",other,0.0
1998,Louisiana,Martin A. Rosenthal,other,0.0
1998,Louisiana,John B. Breaux,democrat,1.0
1998,Louisiana,Raymond Brown,other,0.0
1998,Louisiana,"""Jim"" Donelon",republican,0.0
1998,Louisiana,Darryl Paul Ward,republican,0.0
1998,Maryland,Barbara A. Mikulski,democrat,1.0
1998,Maryland,Ross Z. Pierpont,republican,0.0
1998,Missouri,Tamara A. Millay,other,0.0
1998,Missouri,Jeremiah W. (Jay) Nixon,democrat,0.0
1998,Missouri,Curt Frazier,other,0.0
1998,Missouri,James F. Newport,other,0.0
1998,Missouri,Christopher S. Bond,republican,1.0
1998,Nevada,John E. Ensign,republican,0.0
1998,Nevada,Michael E. Williams,other,0.0
1998,Nevada,Harry Reid,democrat,1.0
1998,Nevada,Michael Cloud,other,0.0
1998,New Hampshire,Brian Christeson,other,0.0
1998,New Hampshire,George Condodemetraky,democrat,0.0
1998,New Hampshire,Judd Gregg,republican,1.0
1998,New Hampshire,Roy Kendel,other,0.0
1998,New York,William P. McMillen,other,0.0
1998,New York,Joel Kovel,other,0.0
1998,New York,Rose Ana Berbeo,other,0.0
1998,New York,Corinne E. Kurtz,other,0.0
1998,North Carolina,Barbara Howe,other,0.0
1998,North Carolina,Lauch Faircloth,republican,0.0
1998,North Carolina,John Edwards,democrat,1.0
1998,North Dakota,Harley McLain,other,0.0
1998,North Dakota,Donna Nalewaja,republican,0.0
1998,North Dakota,Byron L. Dorgan,democrat,1.0
1998,Ohio,George V. Voinovich,republican,1.0
1998,Ohio,Mary O. Boyle,democrat,0.0
1998,Oklahoma,Don Nickles,republican,1.0
1998,Oklahoma,"Argus W. Yandell, Jr.",other,0.0
1998,Oklahoma,Don E. Carroll,democrat,0.0
1998,Oklahoma,Mike Morris,other,0.0
1998,Oregon,Dean M. Braa,other,0.0
1998,Oregon,Karyn Moskowitz,other,0.0
